MSGTIME,LONGTD,LATTD,FL,SPDX,SPDY,SPDZ
20240906104546964,104.773262,31.453295,1226,28,38,0
20240906104547996,104.773643,31.452972,1226,30,36,0
20240906104548589,104.773865,31.452785,1226,32,34,0
20240906104548994,104.773972,31.452694,1226,33,33,0
20240906104549433,104.774139,31.452555,1234,34,32,0
20240906104549932,104.774345,31.452436,1234,35,31,0
20240906104550401,104.774521,31.452271,1234,35,30,0
20240906104550995,104.774742,31.452129,1234,36,29,0
20240906104551558,104.775017,31.45199,1234,38,28,0
20240906104551995,104.775177,31.451899,1234,38,28,0
20240906104552526,104.775375,31.451797,1234,39,25,0
20240906104556946,104.777412,31.451063,1234,44,16,0
20240906104557354,104.77758,31.451014,1234,44,13,0
20240906104557914,104.777901,31.450972,1234,45,12,0
20240906104559914,104.77887,31.450788,1226,46,8,1
20240906104600415,104.779137,31.450783,1226,47,7,0
20240906104601321,104.779572,31.450741,1226,46,6,0
20240906104602165,104.780014,31.450687,1226,47,5,0
20240906104602758,104.780273,31.450697,1226,47,3,0
20240906104603258,104.78051,31.450687,1226,47,2,0
20240906104603728,104.780762,31.450649,1226,47,1,0
20240906104604199,104.781006,31.450687,1226,47,0,0
20240906104605070,104.781456,31.450697,1226,47,1,0
20240906104605540,104.78167,31.450697,1226,47,1,0
20240906104605945,104.781883,31.450741,1234,47,3,0
20240906104606353,104.782043,31.450741,1234,46,5,0
20240906104606821,104.782318,31.450783,1234,46,6,0
20240906104607414,104.7826,31.450827,1234,46,7,0
20240906104607821,104.782761,31.450874,1234,45,8,1
20240906104608853,104.783257,31.450966,1234,45,9,1
20240906104609790,104.783691,31.451111,1242,43,13,2
20240906104610290,104.783936,31.451153,1242,42,14,3
20240906104610727,104.784096,31.451244,1242,42,14,3
20240906104611289,104.784363,31.451336,1242,42,16,3
20240906104612194,104.784737,31.451481,1249,40,19,2
20240906104614570,104.785728,31.45199,1249,38,22,1
20240906104615165,104.785942,31.452129,1249,37,25,0
20240906104615696,104.78614,31.452253,1249,36,27,0
20240906104616195,104.786331,31.45241,1249,35,27,0
20240906104616712,104.786522,31.452526,1242,35,27,0
20240906104617182,104.78672,31.452694,1242,34,30,0
20240906104617745,104.78688,31.452875,1242,34,30,0
20240906104618245,104.787056,31.453032,1242,34,30,0
20240906104618712,104.787216,31.453123,1242,34,30,0
20240906104619181,104.787376,31.453295,1242,34,30,0
20240906104619682,104.787483,31.453487,1242,34,30,0
20240906104620183,104.787651,31.453621,1242,34,30,0
20240906104620618,104.787758,31.45376,1242,28,37,0
20240906104620859,104.787963,31.453718,2857,59,74,0
20240906104620859,104.787963,31.453718,2857,59,74,0
20240906104621183,104.787926,31.453997,1242,27,37,0
20240906104622305,104.788239,31.454405,1242,24,39,0
20240906104622859,104.788479,31.454494,2857,85,80,0
20240906104624246,104.788673,31.455183,1242,23,40,0
20240906104624806,104.78875,31.455343,1242,18,43,0
20240906104624859,104.788889,31.455286,2857,113,89,0
20240906104624859,104.788889,31.455286,2857,113,89,0
20240906104625277,104.788834,31.455547,1242,17,44,0
20240906104626859,104.789215,31.456128,2857,81,53,0
20240906104626859,104.789215,31.456128,2857,81,53,0
20240906104626901,104.789055,31.456234,1242,13,45,0
20240906104628057,104.789162,31.456738,1242,12,46,0
20240906104628618,104.789246,31.456974,1242,8,47,0
20240906104629744,104.789246,31.457483,1242,6,47,0
20240906104628618,104.789246,31.456974,1242,8,47,0
20240906104629744,104.789246,31.457483,1242,6,47,0
20240906104630620,104.789299,31.457859,1242,2,49,0
20240906104631619,104.789246,31.458279,1242,2,49,0
20240906104632057,104.789268,31.458525,1242,2,49,0
20240906104632494,104.789215,31.458706,1242,3,49,0
20240906104632948,104.789185,31.458927,1242,4,49,0
20240906104633538,104.789162,31.459164,1242,6,48,0
20240906104634043,104.789131,31.459351,1242,7,49,0
20240906104634506,104.789055,31.459576,1242,9,48,0
20240906104636040,104.788857,31.46023,1242,11,47,0
20240906104636314,104.789019,31.46036,2857,11,56,0
20240906104636572,104.78875,31.46051,1242,14,47,0
20240906104637166,104.788635,31.460745,1242,15,46,0
20240906104637632,104.788582,31.460934,1242,15,46,0
20240906104638038,104.788528,31.461073,1242,18,45,0
20240906104641726,104.787537,31.462505,1249,25,42,0
20240906104642323,104.787376,31.462736,1249,27,40,0
20240906104643351,104.786995,31.463116,1249,31,38,0
20240906104643851,104.78688,31.463257,1249,32,37,0
20240906104644258,104.786682,31.463423,1249,33,36,0
20240906104644314,104.786825,31.4635,2857,33,48,0
20240906104644712,104.786522,31.463512,1249,34,35,0
20240906104645245,104.786308,31.463696,1249,35,34,0
20240906104646181,104.785942,31.463959,1249,35,34,0
20240906104646859,104.785811,31.464261,2857,35,72,0
20240906104647242,104.785507,31.464237,1242,35,34,0
20240906104648652,104.78479,31.464613,1242,43,25,0
20240906104648860,104.78489,31.464784,2857,43,53,0
20240906104648860,104.78489,31.464784,2857,43,53,0
20240906104649117,104.78463,31.464657,1242,43,24,1
20240906104650211,104.784081,31.464886,1242,46,22,1
20240906104650774,104.783752,31.464983,1242,46,22,1
20240906104651182,104.783585,31.465075,1242,47,18,0
20240906104652148,104.783035,31.465214,1242,47,17,0
20240906104652859,104.782772,31.465443,2857,47,37,0
20240906104654214,104.78199,31.465401,1242,51,9,0
20240906104654774,104.781662,31.465401,1242,51,7,0
20240906104654859,104.781688,31.465593,2857,51,31,0
20240906104655930,104.781029,31.465433,1242,51,5,0
20240906104656524,104.780701,31.465483,1234,52,2,0
20240906104656930,104.780487,31.465483,1234,52,1,1
20240906104700353,104.778549,31.465391,1219,53,1,2
20240906104658859,104.779397,31.465565,929,53,0,2
20240906104702945,104.777039,31.465252,1211,54,5,3
20240906104703382,104.776718,31.465214,1211,54,5,3
20240906104703914,104.776443,31.465208,1211,54,6,3
20240906104704477,104.77607,31.46516,1203,54,7,3
20240906104704945,104.775856,31.465117,1203,55,8,3
20240906104705383,104.775566,31.465075,1203,55,8,4
20240906104705915,104.775269,31.465027,1203,55,9,3
20240906104706821,104.774742,31.464935,1196,55,9,3
20240906104708914,104.773537,31.464705,1196,53,15,1
20240906104708914,104.773537,31.464705,1196,53,15,1
20240906104710227,104.77282,31.464468,1196,53,16,1
20240906104711288,104.772247,31.464249,1188,52,20,2
20240906104713760,104.77095,31.463696,1181,48,27,2
20240906104714352,104.770683,31.463512,1181,47,28,3
20240906104714792,104.77047,31.463423,1181,46,30,3
20240906104715290,104.770241,31.463257,1181,46,30,3
20240906104715696,104.770073,31.463116,1173,44,33,2
20240906104717757,104.769119,31.462414,1173,40,38,2
20240906104719321,104.768585,31.461861,1165,40,38,2
20240906104720384,104.76815,31.461452,1165,33,43,2
20240906104720946,104.76799,31.46118,1165,32,44,2
20240906104721384,104.76783,31.460997,1158,32,44,2
20240906104721915,104.767715,31.460794,1158,29,46,2
20240906104723415,104.767296,31.460129,1158,26,47,2
20240906104726416,104.766701,31.458755,1150,18,51,1
20240906104727008,104.766647,31.458477,1150,18,51,1
20240906104727479,104.766556,31.458229,1150,13,52,2
20240906104727977,104.766541,31.457977,1143,13,52,2
20240906104728851,104.766426,31.457516,1143,9,52,2
20240906104729414,104.766396,31.457253,1135,6,53,3
20240906104729913,104.766373,31.457012,1135,4,53,3
20240906104730756,104.766373,31.456604,1135,1,53,3
20240906104731288,104.766373,31.456326,1135,0,53,3
20240906104731790,104.766396,31.456089,1127,0,53,3
20240906104732789,104.766449,31.455622,1127,0,53,3
20240906104734314,104.76627,31.454888,2857,0,53,3
20240906104734414,104.766609,31.454834,1127,9,51,2
20240906104734944,104.766701,31.454636,1120,11,51,2
20240906104735382,104.766777,31.454367,1120,13,51,2
20240906104736289,104.766968,31.453991,1120,13,51,2
20240906104739992,104.767189,31.453535,1120,18,14,2
20240906104738314,104.767109,31.453054,838,11,48,2
20240906104741134,104.768204,31.452087,1104,26,43,3
20240906104741696,104.768372,31.451851,1104,26,43,3
20240906104742196,104.768585,31.451658,1104,32,39,3
20240906104742790,104.768799,31.451475,1097,32,39,3
20240906104743324,104.769012,31.451294,1097,35,37,3
20240906104744414,104.769447,31.450972,1097,36,35,3
20240906104744883,104.76963,31.450827,1097,39,32,3
20240906104745386,104.769882,31.450697,1089,40,30,2
20240906104745853,104.770073,31.450548,1089,40,30,2
20240906104746414,104.770309,31.450424,1089,42,28,3
20240906104748414,104.771278,31.45001,1082,44,23,3
20240906104749445,104.771835,31.449808,1074,45,21,3
20240906104749916,104.772049,31.449759,1074,47,18,3
20240906104750448,104.772324,31.449663,1074,47,17,3
20240906104752475,104.773422,31.449432,1066,49,12,2
20240906104752859,104.773517,31.449252,2857,149,12,2
20240906104753039,104.77375,31.449383,1066,49,12,2
20240906104754071,104.774246,31.449341,1059,50,7,3
20240906104754601,104.774559,31.449324,1059,50,7,3
20240906104755070,104.774796,31.449293,1059,51,4,3
20240906104755539,104.775047,31.449324,1059,50,2,3
20240906104752475,104.773422,31.449432,1066,49,12,2
20240906104752859,104.773517,31.449252,2857,149,12,2
20240906104753039,104.77375,31.449383,1066,49,12,2
20240906104754071,104.774246,31.449341,1059,50,7,3
20240906104754601,104.774559,31.449324,1059,50,7,3
20240906104755070,104.774796,31.449293,1059,51,4,3
20240906104755539,104.775047,31.449324,1059,50,2,3
20240906104756850,104.775787,31.449293,1059,50,1,2
20240906104757381,104.776062,31.449341,1059,50,1,2
20240906104758913,104.776825,31.449368,1059,48,4,0
20240906104759445,104.777107,31.449432,1059,47,5,0
20240906104759913,104.777359,31.449459,1059,47,7,0
20240906104800382,104.777596,31.44948,1059,46,8,0
20240906104800850,104.777763,31.449524,1059,46,9,0
20240906104801911,104.778336,31.44964,1059,46,9,0
20240906104802315,104.778571,31.449526,2857,70,58,0
20240906104802315,104.778571,31.449526,2857,70,58,0
20240906104802476,104.778603,31.449738,1059,44,13,0
20240906104802882,104.778763,31.44978,1059,44,14,0
20240906104803412,104.779022,31.449898,1059,43,16,0
20240906104803819,104.77919,31.449947,1059,43,17,0
20240906104804287,104.779411,31.450054,1059,42,18,0
20240906104806195,104.780235,31.450457,1051,42,19,0
20240906104808036,104.780945,31.450874,1051,38,26,1
20240906104808315,104.781162,31.45081,2857,59,36,1
20240906104808036,104.780945,31.450874,1051,38,26,1
20240906104808315,104.781162,31.45081,2857,59,36,1
20240906104808664,104.781166,31.451063,1051,36,29,1
20240906104809726,104.781502,31.451342,1051,33,32,0
20240906104810227,104.78167,31.451519,1051,32,33,1
20240906104810697,104.781822,31.451668,1051,32,33,1
20240906104810859,104.782057,31.451554,2857,99,130,1
20240906104811822,104.782211,31.452087,1043,32,33,1
